"id","text","source","categorie"
"chunk_001","Le chat bleu de Bob s'appelle Henri.","carnet_de_bob","animaux"
"chunk_002","Henri, le chat de Bob, refuse de dormir ailleurs que sur le réfrigérateur.","carnet_de_bob","animaux"
"chunk_003","Henri le chat bleu miaule uniquement les mardis, jamais les autres jours.","carnet_de_bob","animaux"
"chunk_004","Le chien vert d'Alice s'appelle Gaston et il a peur des parapluies fermés.","registre_animalier","animaux"
"chunk_005","Gaston, le chien vert d'Alice, aboie en rimes quand il pleut.","registre_animalier","animaux"
"chunk_006","La tortue orange de Carla se nomme Prosper et collectionne les bouchons de liège.","registre_animalier","animaux"
"chunk_007","Prosper la tortue orange traverse le jardin de Carla en exactement quarante minutes.","registre_animalier","animaux"
"chunk_008","Le perroquet gris de Diego s'appelle Newton et ne répète que des mots qui commencent par la lettre K.","carnet_de_diego","animaux"
"chunk_009","Newton le perroquet de Diego dort la tête en bas dans un vieux chapeau melon.","carnet_de_diego","animaux"
"chunk_010","Le lapin rose de Fatou s'appelle Bartholomé et il déteste la couleur turquoise.","registre_animalier","animaux"
"chunk_011","Bartholomé le lapin rose de Fatou creuse toujours vers le nord-est.","registre_animalier","animaux"
"chunk_012","Le poisson rouge de Karim s'appelle Ferdinand et nage exclusivement dans le sens des aiguilles d'une montre.","carnet_de_karim","animaux"
"chunk_013","Ferdinand le poisson de Karim s'ennuie quand il n'y a pas de musique classique dans la pièce.","carnet_de_karim","animaux"
"chunk_014","Le hamster jaune de Sophie s'appelle Auguste et gère un stock secret de graines de citrouille.","registre_animalier","animaux"
"chunk_015","Auguste le hamster jaune de Sophie court dans sa roue uniquement à reculons.","registre_animalier","animaux"
"chunk_016","Le chat noir de Bob, différent d'Henri, s'appelle Casimir et vit dans la cave.","carnet_de_bob","animaux"
"chunk_017","Casimir, le second chat de Bob, ne mange que des croquettes en forme d'étoile.","carnet_de_bob","animaux"
"chunk_018","La chèvre mauve de Léon s'appelle Clémentine et connaît le chemin de la boulangerie par cœur.","carnet_de_leon","animaux"
"chunk_019","Clémentine la chèvre mauve de Léon refuse de marcher sur les pavés fissurés.","carnet_de_leon","animaux"
"chunk_020","Le canard argenté de Nadia s'appelle Roméo et il siffle l'air d'une berceuse inventée par Nadia.","registre_animalier","animaux"
"chunk_021","Roméo le canard argenté de Nadia dort dans une pantoufle en velours vert.","registre_animalier","animaux"
"chunk_022","Contrairement à une idée répandue au village, le chat d'Henri n'a jamais été vert : il est et a toujours été bleu.","carnet_de_bob","animaux"
"chunk_023","Villebrume-les-Cuillères est un village où toutes les maisons ont un toit en zinc plié en accordéon.","geographie_imaginaire","lieux"
"chunk_024","Basse-Molette est une bourgade construite entièrement autour d'un puits qui ne contient que du sable tiède.","geographie_imaginaire","lieux"
"chunk_025","Mont-Farfelu est une colline dont le sommet change de nom chaque premier lundi du mois.","geographie_imaginaire","lieux"
"chunk_026","Les Cinq-Escaliers est un quartier où il est interdit de monter deux marches à la fois.","geographie_imaginaire","lieux"
"chunk_027","Pont-aux-Cailloux est une ville dont l'unique pont est peint en damier jaune et gris.","geographie_imaginaire","lieux"
